GRB	BAT T90 [sec]
080810	106
080805	78
080804	34
080802	176
080727C	79.7
080727B	8.6
080727A	4.9
080725	120
080723A	17.3
080721	16.2
080714	33
080710	120
080707	27.1
080703	3.4
080702B	20
080702A	0.5
080701	18
080623	15.2
080613B	105
080607	79
080605	20
080604	82
080603B	60
080602	74
080524	9
080523	102
080520	2.8
080517	64.6
080516	5.8
080515	21
080506	150
080503	170
080430	16.2
080426	1.7
080413B	8.0
080413A	46
080411	56
080409	20.2
080330	61
080328	90.6
080325	128.4
080320	14
080319D	24
080319C	34
080319B	>50
080319A	64
080315	65
080310	365
080307	125.9
080303	67
080229A	64
080218B	6.2
080218A	27.6
080212	123
080210	45
080207	340
080205	106.5
080130	65
080129	48
080123	115
080121	0.7
071227	1.8
071129	420
071122	68.7
071118	71
071117	6.6
071112C	15
071112B	0.30
071101	9.0
071031	180
071028B	55
071028A	27.0
071025	109
071021	225
071020	4.2
071018	376.0
071013	26
071011	61
071010C	n/a
071010B	>35.7
071010A	6
071008	18
071006	50
071003	150
071001	58.5
070923	0.05
070920B	20.2
070920A	56
070917	7.3
070913	3.2
070911	162
070810B	0.08
070810A	11.0
070809	1.3
070808	32
070805	31.0
070802	16.4
070731	2.9
070729	0.9
070724A	0.4
070721B	340
070721A	3.4
070714B	64
070714A	2.0
070704	380
070628	39.1
070621	33.3
070616	402.400
070612B	13.500
070612A	368.800
070611	12.200
070531	44.500
070529	109.200
070521	37.900
070520B	65.800
070520A	18.100
070518	5.500
070517	7.600
070509	7.700
070508	20.900
070506	4.300
070429B	0.470
070429A	163.300
070427	11.100
070420	76.500
070419B	236.400
070419A	115.600
070412	33.800
070411	121.500
070406	1.200
070330	9.000
070328	75.300
070326	n/a
070318	74.600
070306	209.500
070227	7
070224	34.500
070223	88.500
070220	129.000
070219	16.600
070209	0.090
070208	47.700
070129	460.600
070126	51
070110	88.400
070107	347.300
070103	18.600
061222B	40.000
061222A	71.400
061218	6.500
061217	0.210
061210	85.300
061202	91.200
061201	0.760
061126	70.800
061121	81.300
061110B	134.000
061110A	40.700
061102	45.600
061028	106.200
061027	150
061021	46.200
061019	183.800
061007	75.300
061006	129.900
061004	6.200
061002	17.600
060929	554.000
060927	22.500
060926	8.000
060923C	75.800
060923B	8.600
060923A	51.700
060919	9.100
060912A	5.000
060908	19.300
060906	43.500
060904B	171.500
060904A	80.100
060825	8.000
060814	145.300
060813	16.100
060807	54.000
060805A	5.300
060804	17.800
060801	0.490
060729	115.300
060728	60
060719	66.900
060717	3.000
060714	115.000
060712	26.300
060708	10.200
060707	66.200
060614	108.700
060607B	31.100
060607A	102.200
060605	79.100
060604	95.000
060602A	75.000
060526	298.200
060522	71.100
060516	161.600
060515	52.000
060512	8.500
060510B	275.200
060510A	20.400
060507	183.300
060505	~4
060502B	0.131
060502A	28.400
060501	21.900
060428B	57.900
060428A	39.500
060427	64.000
060424	37.500
060421	12.200
060418	103.100
060413	147.700
060403	30.100
060323	25.400
060322	221.500
060319	10.600
060313	0.740
060312	50.600
060306	61.200
060223B	10.300
060223A	11.300
060219	62.100
060218	~2100
060211B	27.700
060211A	126.300
060210	255.000
060206	7.600
060204B	139.400
060203	68.200
060202	198.900
060124	~750
060123	900
060117	16.900
060116	105.900
060115	139.600
060111B	58.800
060111A	13.200
060110	26.000
060109	115.400
060108	14.300
060105	54.400
060102	19.000
051227	114.600
051221B	39.900
051221A	1.400
051213	71.100
051210	1.300
051117B	9.000
051117A	136.300
051114	2.2
051113	93.300
051111	46.100
051109B	14.300
051109A	37.200
051105A	0.093
051021B	46.500
051016B	4.000
051016A	23.000
051012	13
051008	>32
051006	34.800
